Jahr,Kontinent,Art,Mitte,Friedrichshain-Kreuzberg,Pankow,Charlottenburg-Wilmersdorf,Spandau,Steglitz-Zehlendorf,Tempelhof-Schöneberg,Neukölln,Treptow-Köpenick,Marzahn-Hellersdorf,Lichtenberg,Reinickendorf
1991,Afrika,Zuzug,253,271,129,361,134,128,387,195,31,37,119,132
1991,Amerika Gesamt,Zuzug,279,232,98,625,121,612,387,194,25,43,78,121
1991,Asien,Zuzug,965,596,184,1103,420,558,831,742,62,167,357,385
1991,Australien u.Ozeanien,Zuzug,11,23,5,29,13,19,28,8,1,0,1,35
1991,Europa,Zuzug,6122,4615,1266,5202,2755,3004,5244,5240,950,1403,3748,2035
1991,Mittelamerika,Zuzug,36,32,20,32,15,18,26,10,8,19,39,5
1991,Nordamerika,Zuzug,157,153,53,469,77,499,262,119,13,20,26,88
1991,Südamerika,Zuzug,86,47,25,124,29,95,99,64,4,4,13,28
1991,Übriges Amerika,Zuzug,0,0,0,0,0,0,0,1,0,0,0,0
1991,Unbekanntes Ausland,Zuzug,66,82,46,63,79,47,67,61,17,26,45,26
1992,Afrika,Zuzug,301,148,113,308,115,147,288,235,70,40,84,131
1992,Amerika Gesamt,Zuzug,304,254,139,651,114,582,375,191,41,55,83,157
1992,Asien,Zuzug,889,438,215,966,335,522,702,671,127,186,462,314
1992,Australien u.Ozeanien,Zuzug,17,26,6,60,9,47,29,9,2,1,5,14
1992,Europa,Zuzug,8771,5056,2707,6471,4031,3546,6300,6037,2267,3068,6144,2642
1992,Mittelamerika,Zuzug,33,35,20,29,9,17,24,10,7,21,27,6
1992,Nordamerika,Zuzug,185,155,79,503,83,475,266,138,23,27,40,106
1992,Südamerika,Zuzug,86,63,40,119,22,90,85,43,11,6,16,45
1992,Übriges Amerika,Zuzug,0,1,0,0,0,0,0,0,0,1,0,0
1992,Unbekanntes Ausland,Zuzug,115,79,89,53,58,49,75,64,35,59,78,33
1993,Afrika,Zuzug,257,175,119,303,109,177,240,216,70,65,102,130
1993,Amerika Gesamt,Zuzug,317,265,130,610,101,553,357,183,36,43,89,115
1993,Asien,Zuzug,909,580,513,950,561,629,694,673,397,333,1253,581
1993,Australien u.Ozeanien,Zuzug,28,23,10,38,10,26,13,14,2,6,4,14
1993,Europa,Zuzug,7883,5030,4179,6640,3485,3932,5922,4809,3944,2987,5522,3051
1993,Mittelamerika,Zuzug,44,34,20,42,16,26,31,23,8,11,17,7
1993,Nordamerika,Zuzug,193,167,74,454,64,460,246,107,16,28,51,74
1993,Südamerika,Zuzug,80,63,35,114,21,67,79,52,12,4,21,34
1993,Übriges Amerika,Zuzug,0,1,1,0,0,0,1,1,0,0,0,0
1993,Unbekanntes Ausland,Zuzug,77,83,60,83,52,59,72,64,20,26,52,54
1994,Afrika,Zuzug,244,194,129,324,118,199,210,215,44,42,109,158
1994,Amerika Gesamt,Zuzug,306,244,184,521,120,510,364,191,72,54,73,112
1994,Asien,Zuzug,960,686,417,949,690,564,648,609,719,655,948,724
1994,Australien u.Ozeanien,Zuzug,29,19,7,45,6,35,17,11,2,2,8,11
1994,Europa,Zuzug,6833,4308,3693,5253,2266,3213,4951,3931,3086,3128,5660,2840
1994,Mittelamerika,Zuzug,38,28,21,48,14,20,30,11,13,25,25,11
1994,Nordamerika,Zuzug,186,135,103,379,85,414,277,125,54,27,30,69
1994,Südamerika,Zuzug,82,81,58,94,21,75,57,55,5,2,18,32
1994,Übriges Amerika,Zuzug,0,0,2,0,0,1,0,0,0,0,0,0
1994,Unbekanntes Ausland,Zuzug,56,72,58,60,40,49,80,64,25,24,56,82
1995,Afrika,Zuzug,238,208,105,286,115,174,212,214,24,45,138,145
1995,Amerika Gesamt,Zuzug,337,298,214,549,84,551,299,188,71,56,110,117
1995,Asien,Zuzug,888,505,341,884,597,561,700,550,621,710,1005,1048
1995,Australien u.Ozeanien,Zuzug,21,23,22,49,14,32,23,11,3,2,4,12
1995,Europa,Zuzug,6735,4740,4384,5214,3030,3549,4643,4010,2889,3235,6413,3170
1995,Mittelamerika,Zuzug,30,41,24,52,12,25,25,17,13,20,25,11
1995,Nordamerika,Zuzug,211,182,127,373,46,436,202,125,44,25,47,70
1995,Südamerika,Zuzug,96,75,62,124,26,89,72,45,14,11,38,36
1995,Übriges Amerika,Zuzug,0,0,1,0,0,1,0,1,0,0,0,0
1995,Unbekanntes Ausland,Zuzug,99,70,62,69,59,52,100,77,29,26,48,137
1996,Afrika,Zuzug,294,187,118,264,133,172,227,188,38,38,106,118
1996,Amerika Gesamt,Zuzug,359,310,251,604,94,574,295,178,48,54,100,133
1996,Asien,Zuzug,1043,637,472,937,577,569,941,751,399,622,786,773
1996,Australien u.Ozeanien,Zuzug,20,20,15,36,11,33,25,15,5,4,0,16
1996,Europa,Zuzug,5916,3920,4233,4151,3011,3022,3968,3759,2773,2214,5447,3232
1996,Mittelamerika,Zuzug,43,52,27,50,10,22,21,29,3,23,17,15
1996,Nordamerika,Zuzug,212,150,151,391,67,439,195,99,42,20,62,87
1996,Südamerika,Zuzug,103,108,73,162,17,112,77,50,3,11,21,31
1996,Übriges Amerika,Zuzug,1,0,0,1,0,1,2,0,0,0,0,0
1996,Unbekanntes Ausland,Zuzug,96,92,55,85,67,39,94,77,28,27,28,91
1997,Afrika,Zuzug,305,209,116,241,104,201,178,203,39,28,165,135
1997,Amerika Gesamt,Zuzug,386,254,219,576,96,498,325,154,87,82,72,104
1997,Asien,Zuzug,1069,539,402,872,559,487,771,644,296,456,440,425
1997,Australien u.Ozeanien,Zuzug,22,32,16,55,13,18,26,13,11,5,7,6
1997,Europa,Zuzug,5695,3658,3705,3538,2890,2565,2919,3185,2354,1298,3865,2714
1997,Mittelamerika,Zuzug,42,31,26,46,11,27,27,21,21,31,22,15
1997,Nordamerika,Zuzug,253,156,143,413,62,372,199,89,48,32,38,59
1997,Südamerika,Zuzug,90,67,50,117,23,99,99,44,18,19,12,30
1997,Übriges Amerika,Zuzug,1,0,0,0,0,0,0,0,0,0,0,0
1997,Unbekanntes Ausland,Zuzug,129,103,60,85,99,40,87,72,26,34,43,60
1998,Afrika,Zuzug,341,255,130,243,108,186,194,209,53,29,179,136
1998,Amerika Gesamt,Zuzug,363,288,303,636,99,523,334,160,75,62,112,117
1998,Asien,Zuzug,963,665,389,885,756,553,762,588,375,243,546,487
1998,Australien u.Ozeanien,Zuzug,18,23,11,61,6,30,25,8,10,3,3,11
1998,Europa,Zuzug,6182,3100,3231,3370,2703,2233,2917,3040,1730,929,3050,1937
1998,Mittelamerika,Zuzug,35,34,33,47,15,23,46,13,12,21,26,15
1998,Nordamerika,Zuzug,215,166,195,444,60,417,199,100,50,33,50,78
1998,Südamerika,Zuzug,113,88,75,145,24,82,89,46,13,8,36,24
1998,Übriges Amerika,Zuzug,0,0,0,0,0,1,0,1,0,0,0,0
1998,Unbekanntes Ausland,Zuzug,123,94,61,108,81,44,79,87,36,25,38,88
1999,Afrika,Zuzug,367,222,125,239,158,203,187,186,89,50,174,135
1999,Amerika Gesamt,Zuzug,432,333,378,696,108,535,378,161,91,70,131,132
1999,Asien,Zuzug,1141,584,406,900,1046,591,749,605,347,185,570,405
1999,Australien u.Ozeanien,Zuzug,29,36,31,38,6,34,38,13,3,1,2,16
1999,Europa,Zuzug,5709,3331,2952,3669,2744,2311,3096,3397,1712,1007,3050,1466
1999,Mittelamerika,Zuzug,33,48,49,40,10,36,56,22,17,14,27,13
1999,Nordamerika,Zuzug,281,194,238,479,58,430,241,100,52,38,76,77
1999,Südamerika,Zuzug,117,91,91,176,40,69,81,37,17,18,28,42
1999,Übriges Amerika,Zuzug,1,0,0,1,0,0,0,2,5,0,0,0
1999,Unbekanntes Ausland,Zuzug,156,118,70,83,96,40,94,125,46,34,51,91
2000,Afrika,Zuzug,368,215,123,290,125,215,171,202,74,36,161,107
2000,Amerika Gesamt,Zuzug,526,363,403,715,92,643,402,179,74,57,123,126
2000,Asien,Zuzug,1368,493,479,1034,943,663,718,720,354,361,551,342
2000,Australien u.Ozeanien,Zuzug,38,24,31,56,6,23,21,18,5,9,3,9
2000,Europa,Zuzug,5541,3210,2862,3420,1991,2362,2918,3291,1119,1101,2197,1408
2000,Mittelamerika,Zuzug,50,30,27,43,17,24,41,21,16,18,15,19
2000,Nordamerika,Zuzug,330,208,286,510,53,487,284,102,43,27,71,76
2000,Südamerika,Zuzug,146,125,90,162,22,132,77,56,15,12,37,29
2000,Übriges Amerika,Zuzug,0,0,0,0,0,0,0,0,0,0,0,2
2000,Unbekanntes Ausland,Zuzug,198,142,100,100,68,63,87,118,46,26,52,66
2001,Afrika,Zuzug,344,230,137,306,138,199,222,209,71,25,149,113
