Jahr,Land,Kontinent,Art,Mitte,Friedrichshain-Kreuzberg,Pankow,Charlottenburg-Wilmersdorf,Spandau,Steglitz-Zehlendorf,Tempelhof-Schöneberg,Neukölln,Treptow-Köpenick,Marzahn-Hellersdorf,Lichtenberg,Reinickendorf
1991,Afghanistan,Asien,Zuzug,7,12,1,13,4,11,3,3,0,4,17,12
1991,Ägypten,Afrika,Zuzug,48,27,4,35,27,27,51,28,8,7,40,19
1991,Albanien,Europa,Zuzug,0,1,0,4,1,2,2,17,2,1,0,1
1991,Algerien,Afrika,Zuzug,16,12,7,24,7,0,12,11,1,1,1,18
1991,Andorra,Europa,Zuzug,0,0,0,0,1,1,0,0,0,0,0,0
1991,Angola,Afrika,Zuzug,13,57,22,26,7,8,74,8,0,0,13,5
1991,Äquatorialguinea,Afrika,Zuzug,0,1,0,0,0,0,0,0,0,0,0,0
1991,Argentinien,Amerika,Zuzug,13,5,4,9,1,12,8,5,1,0,1,1
1991,Äthiopien,Afrika,Zuzug,11,24,3,21,16,9,53,23,2,2,12,4
1991,Australien,Australien/Ozeanien,Zuzug,9,20,5,21,13,15,22,5,1,0,1,29
1991,Bahamas,Amerika,Zuzug,0,0,0,1,0,1,0,0,0,0,0,0
1991,Bahrain,Asien,Zuzug,0,0,0,1,0,0,0,0,0,0,0,0
1991,Bangladesch,Asien,Zuzug,7,5,2,12,7,3,64,5,0,0,0,2
1991,Barbados,Amerika,Zuzug,1,1,0,0,0,0,1,0,0,0,0,1
1991,Belgien,Europa,Zuzug,12,10,10,19,0,17,16,3,0,2,2,11
1991,Benin,Afrika,Zuzug,1,1,0,0,0,0,0,4,0,0,1,0
1991,Bolivien,Amerika,Zuzug,2,1,0,3,0,3,2,1,1,0,0,1
1991,Botsuana,Afrika,Zuzug,0,0,0,2,0,0,0,0,0,0,0,0
1991,Brasilien,Amerika,Zuzug,33,18,5,54,15,36,36,25,2,1,1,13
1991,Bulgarien,Europa,Zuzug,140,164,135,89,34,69,85,77,72,58,166,23
1991,Burkina Faso,Afrika,Zuzug,2,0,0,4,0,0,0,0,0,0,0,0
1991,Burundi,Afrika,Zuzug,1,0,0,0,1,0,0,0,0,0,2,0
1991,Chile,Amerika,Zuzug,6,5,3,9,0,11,6,8,0,0,6,1
1991,China,Asien,Zuzug,67,55,30,113,17,66,71,38,0,8,8,17
1991,Costa Rica,Amerika,Zuzug,1,0,1,2,0,1,1,0,0,0,0,0
1991,Cote de'Ivoire,Afrika,Zuzug,2,1,0,2,0,0,5,1,0,0,0,0
1991,Dänemark,Europa,Zuzug,12,17,7,43,2,37,18,18,2,2,4,8
1991,Dominikanische Republik,Amerika,Zuzug,6,8,0,7,7,5,10,3,0,0,0,1
1991,Dschibuti,Afrika,Zuzug,0,0,0,0,0,0,0,0,0,0,1,0
1991,Ecuador,Amerika,Zuzug,4,0,0,3,2,3,17,0,0,1,1,1
1991,Ehem. Sowjetunion,Europa,Zuzug,711,405,354,636,380,471,515,142,400,323,633,60
1991,Ehem.Tschechoslowakei,Europa,Zuzug,36,21,81,66,9,40,48,103,11,35,76,31
1991,Finnland,Europa,Zuzug,12,2,5,21,6,18,8,6,1,1,11,5
1991,Frankreich,Europa,Zuzug,185,97,45,235,25,121,165,72,8,9,19,173
1991,Gabun,Afrika,Zuzug,0,1,0,1,0,0,0,0,0,0,0,0
1991,Gambia,Afrika,Zuzug,2,2,0,1,1,1,3,1,0,0,0,1
1991,Ghana,Afrika,Zuzug,25,44,6,20,12,11,14,29,1,0,12,13
1991,Grenada,Amerika,Zuzug,0,2,0,0,0,0,1,0,0,0,0,0
1991,Griechenland,Europa,Zuzug,138,141,8,118,38,60,103,122,0,2,22,16
1991,Guatemala,Amerika,Zuzug,0,1,0,1,1,5,0,0,0,0,0,0
1991,Guinea,Afrika,Zuzug,4,3,6,7,2,0,3,2,0,0,2,4
1991,Guinea-Bissau,Afrika,Zuzug,1,1,2,0,0,0,0,0,0,0,0,0
1991,Guyana,Amerika,Zuzug,0,1,0,1,0,0,0,0,0,0,0,0
1991,Haiti,Amerika,Zuzug,2,0,0,2,0,1,0,3,0,0,0,0
1991,Honduras,Amerika,Zuzug,2,4,0,3,0,1,0,0,0,0,0,1
1991,Indien,Asien,Zuzug,21,28,2,41,6,25,17,16,2,2,6,10
1991,Indonesien,Asien,Zuzug,39,31,3,37,7,20,22,10,1,2,1,5
1991,Irak,Asien,Zuzug,7,3,6,10,6,3,8,11,0,5,5,9
1991,Iran,Asien,Zuzug,93,41,19,122,48,58,80,70,0,0,2,30
1991,Irland,Europa,Zuzug,34,29,4,20,7,11,21,12,0,0,9,1
1991,Island,Europa,Zuzug,7,5,0,3,1,9,0,2,0,0,0,4
1991,Israel,Asien,Zuzug,182,20,5,118,52,64,94,38,18,0,5,72
1991,Italien,Europa,Zuzug,167,147,35,263,41,116,147,83,8,0,7,60
1991,Jamaika,Amerika,Zuzug,5,2,0,2,1,0,5,0,0,0,0,0
1991,Japan,Asien,Zuzug,18,17,7,96,11,54,27,10,3,0,1,2
1991,Jemen,Asien,Zuzug,3,3,7,0,0,0,1,4,1,1,7,0
1991,Jordanien,Asien,Zuzug,30,14,1,14,2,2,12,16,1,2,8,3
1991,Jugoslawien,Europa,Zuzug,1382,1202,112,1428,860,702,1554,1842,135,43,200,549
1991,Kambodscha,Asien,Zuzug,2,1,0,2,1,0,0,0,0,0,1,2
1991,Kamerun,Afrika,Zuzug,3,5,1,6,2,8,3,1,0,1,2,1
1991,Kanada,Amerika,Zuzug,13,12,5,44,12,34,17,13,3,2,3,18
1991,Kap Verde,Afrika,Zuzug,1,1,0,1,0,0,0,0,0,0,0,0
1991,Katar,Asien,Zuzug,2,0,0,1,0,0,0,0,0,0,0,0
1991,Kenia,Afrika,Zuzug,4,4,0,8,1,4,4,2,2,0,0,4
1991,Kolumbien,Amerika,Zuzug,4,2,5,17,7,6,13,3,0,1,2,6
1991,Komoren,Afrika,Zuzug,1,0,0,0,0,0,0,0,0,0,0,0
1991,"Kongo, Dem. Rep.",Afrika,Zuzug,4,3,29,16,0,2,17,4,0,0,0,7
1991,"Kongo, Rep.",Afrika,Zuzug,5,2,4,1,0,0,0,0,0,1,3,0
1991,"Korea, Dem. Volksrepublik",Asien,Zuzug,9,2,0,6,1,7,5,1,0,0,1,0
1991,"Korea, Republik",Asien,Zuzug,13,8,0,34,22,18,22,6,8,0,4,11
1991,Kuba,Amerika,Zuzug,12,11,15,8,4,2,5,3,7,18,36,0
1991,Kuwait,Asien,Zuzug,1,1,0,0,0,0,0,0,3,0,0,0
1991,Laos,Asien,Zuzug,5,0,0,2,1,0,2,5,0,0,1,0
