Jahr,Art,Bezirk,Deutschland,Schleswig-Holstein,Hamburg,Niedersachsen,Bremen,Nordrhein-Westfalen,Hessen,Rheinland-Pfalz,Baden-Württemberg,Bayern,Saarland,Brandenburg,Mecklenburg-Vorpommern,Sachsen,Sachsen-Anhalt,Thüringen
1991,Fortzug,Charlottenburg-Wilmersdorf,5837,442,396,950,83,1043,525,192,732,887,55,363,34,81,36,18
1991,Fortzug,Friedrichshain-Kreuzberg,4942,301,238,658,79,748,336,182,621,563,44,618,191,188,90,85
1991,Fortzug,Lichtenberg,4166,79,46,298,30,488,221,107,410,420,7,1009,276,370,195,210
1991,Fortzug,Marzahn-Hellersdorf,5453,123,72,509,31,750,226,127,589,650,25,1200,261,426,231,233
1991,Fortzug,Mitte,6543,376,230,930,90,1056,495,274,735,839,63,748,164,297,161,85
1991,Fortzug,Neukölln,4276,351,170,836,83,696,299,149,492,597,26,411,38,66,33,29
1991,Fortzug,Pankow,4298,109,98,330,28,414,171,83,439,395,13,1189,256,365,201,207
1991,Fortzug,Reinickendorf,2937,293,103,581,41,389,254,129,258,385,27,381,26,30,16,24
1991,Fortzug,Spandau,2664,229,108,505,33,422,178,85,189,341,12,455,25,42,23,17
1991,Fortzug,Steglitz-Zehlendorf,4614,413,278,804,48,813,398,154,570,616,45,336,38,45,36,20
1991,Fortzug,Tempelhof-Schöneberg,5138,415,251,933,81,831,410,208,710,688,53,382,52,49,37,38
1991,Fortzug,Treptow-Köpenick,2621,70,47,223,14,318,156,54,253,289,6,632,136,214,85,124
1991,Zuzug,Charlottenburg-Wilmersdorf,6430,408,311,858,119,1343,612,246,855,853,72,413,85,126,86,43
1991,Zuzug,Friedrichshain-Kreuzberg,5629,181,175,583,67,805,347,180,633,618,43,908,329,375,236,149
1991,Zuzug,Lichtenberg,4184,44,28,171,13,216,92,45,161,154,16,1197,484,802,426,335
1991,Zuzug,Marzahn-Hellersdorf,3851,36,15,118,7,149,39,31,146,123,8,1344,557,602,432,244
1991,Zuzug,Mitte,6128,250,208,734,90,1056,408,195,658,609,58,868,293,354,202,145
